transaction_id,customer_id,date,amount_eur,type,category,status
T001,C001,2025-01-05,12500.00,subscription,annual,completed
T002,C002,2025-01-08,890.00,subscription,monthly,completed
T003,C003,2025-01-10,18000.00,subscription,annual,completed
T004,C004,2025-01-12,3200.00,subscription,quarterly,refunded
T005,C005,2025-01-15,750.00,subscription,monthly,completed
T006,C006,2025-01-18,15000.00,subscription,annual,completed
T007,C001,2025-01-20,2400.00,add-on,consulting,completed
T008,C007,2025-01-22,650.00,subscription,monthly,completed
T009,C008,2025-01-25,4800.00,subscription,quarterly,completed
T010,C009,2025-02-01,22000.00,subscription,annual,completed
T011,C002,2025-02-05,890.00,subscription,monthly,completed
T012,C010,2025-02-08,3600.00,subscription,quarterly,completed
T013,C005,2025-02-10,750.00,subscription,monthly,completed
T014,C011,2025-02-12,580.00,subscription,monthly,completed
T015,C003,2025-02-15,5000.00,add-on,training,completed
T016,C007,2025-02-18,650.00,subscription,monthly,completed
T017,C012,2025-02-20,14000.00,subscription,annual,refunded
T018,C014,2025-02-22,4200.00,subscription,quarterly,completed
T019,C008,2025-02-25,1200.00,add-on,support,completed
T020,C013,2025-03-01,720.00,subscription,monthly,completed
T021,C001,2025-03-05,3500.00,add-on,consulting,completed
T022,C015,2025-03-08,490.00,subscription,monthly,completed
T023,C009,2025-03-10,8000.00,add-on,implementation,completed
T024,C006,2025-03-12,2000.00,add-on,training,completed
T025,C011,2025-03-15,580.00,subscription,monthly,completed
